SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,GAMES_PLAYED
22018,1610612741,CHI,Chicago Bulls,0021800014,2018-10-18,CHI @ PHI,L,240,108,44,101,0.436,11,33,0.333,9,12,0.75,5,34,39,28,4,6,12,23,-19.0,0
22018,1610612741,CHI,Chicago Bulls,0021800031,2018-10-20,CHI vs. DET,L,241,116,44,87,0.506,7,21,0.333,21,26,0.808,5,36,41,26,4,3,11,20,-2.0,1
22018,1610612741,CHI,Chicago Bulls,0021800044,2018-10-22,CHI @ DAL,L,241,109,41,80,0.513,13,23,0.565,14,21,0.667,7,27,34,18,6,4,19,29,-6.0,2
22018,1610612741,CHI,Chicago Bulls,0021800056,2018-10-24,CHI vs. CHA,W,241,112,37,77,0.481,10,29,0.345,28,35,0.8,9,36,45,21,4,5,14,24,2.0,3
22018,1610612741,CHI,Chicago Bulls,0021800067,2018-10-26,CHI @ CHA,L,241,106,37,85,0.435,16,36,0.444,16,22,0.727,8,26,34,21,5,7,13,16,-29.0,4
22018,1610612741,CHI,Chicago Bulls,0021800076,2018-10-27,CHI @ ATL,W,240,97,36,83,0.434,12,33,0.364,13,16,0.813,8,44,52,25,14,6,20,21,12.0,5
22018,1610612741,CHI,Chicago Bulls,0021800091,2018-10-29,CHI vs. GSW,L,240,124,46,94,0.489,11,35,0.314,21,34,0.618,12,32,44,25,6,3,9,19,-25.0,6
22018,1610612741,CHI,Chicago Bulls,0021800106,2018-10-31,CHI vs. DEN,L,266,107,39,92,0.424,16,34,0.471,13,18,0.722,10,33,43,27,7,6,13,23,-1.0,7
22018,1610612741,CHI,Chicago Bulls,0021800120,2018-11-02,CHI vs. IND,L,240,105,42,89,0.472,13,31,0.419,8,9,0.889,11,32,43,33,2,7,14,20,-2.0,8
22018,1610612741,CHI,Chicago Bulls,0021800129,2018-11-03,CHI vs. HOU,L,240,88,28,71,0.394,6,23,0.261,26,27,0.963,4,33,37,15,13,4,19,18,-8.0,9
22018,1610612741,CHI,Chicago Bulls,0021800143,2018-11-05,CHI @ NYK,W,289,116,43,95,0.453,8,30,0.267,22,30,0.733,11,37,48,15,9,9,19,22,1.0,10
22018,1610612741,CHI,Chicago Bulls,0021800159,2018-11-07,CHI @ NOP,L,241,98,38,96,0.396,9,31,0.29,13,17,0.765,7,39,46,18,9,7,11,16,-9.0,11
22018,1610612741,CHI,Chicago Bulls,0021800178,2018-11-10,CHI vs. CLE,W,238,99,39,82,0.476,7,18,0.389,14,21,0.667,5,33,38,20,7,5,11,19,1.0,12
22018,1610612741,CHI,Chicago Bulls,0021800193,2018-11-12,CHI vs. DAL,L,239,98,35,89,0.393,8,33,0.242,20,22,0.909,8,37,45,16,11,3,17,26,-5.0,13
22018,1610612741,CHI,Chicago Bulls,0021800204,2018-11-14,CHI @ BOS,L,240,82,33,84,0.393,7,23,0.304,9,9,1.0,7,40,47,16,8,3,22,16,-29.0,14
22018,1610612741,CHI,Chicago Bulls,0021800223,2018-11-16,CHI @ MIL,L,240,104,41,94,0.436,13,33,0.394,9,13,0.692,4,32,36,22,8,3,12,15,-19.0,15
22018,1610612741,CHI,Chicago Bulls,0021800230,2018-11-17,CHI vs. TOR,L,240,83,30,86,0.349,8,27,0.296,15,21,0.714,7,27,34,21,13,3,22,19,-39.0,16
22018,1610612741,CHI,Chicago Bulls,0021800257,2018-11-21,CHI vs. PHX,W,241,124,46,81,0.568,11,25,0.44,21,24,0.875,4,35,39,28,8,2,17,19,8.0,17
22018,1610612741,CHI,Chicago Bulls,0021800273,2018-11-23,CHI vs. MIA,L,240,96,35,94,0.372,7,28,0.25,19,20,0.95,11,40,51,23,8,6,17,23,-7.0,18
22018,1610612741,CHI,Chicago Bulls,0021800281,2018-11-24,CHI @ MIN,L,241,96,32,81,0.395,10,33,0.303,22,31,0.71,6,34,40,22,7,4,13,19,-15.0,19
22018,1610612741,CHI,Chicago Bulls,0021800297,2018-11-26,CHI vs. SAS,L,241,107,42,90,0.467,14,33,0.424,9,11,0.818,5,38,43,23,6,5,11,12,-1.0,20
22018,1610612741,CHI,Chicago Bulls,0021800310,2018-11-28,CHI @ MIL,L,239,113,40,89,0.449,11,37,0.297,22,29,0.759,9,36,45,28,9,3,11,23,-3.0,21
22018,1610612741,CHI,Chicago Bulls,0021800321,2018-11-30,CHI @ DET,L,240,88,37,86,0.43,3,21,0.143,11,14,0.786,7,33,40,25,5,7,15,20,-19.0,22
22018,1610612741,CHI,Chicago Bulls,0021800334,2018-12-01,CHI @ HOU,L,241,105,39,88,0.443,8,32,0.25,19,24,0.792,7,34,41,15,11,6,13,22,-16.0,23
22018,1610612741,CHI,Chicago Bulls,0021800350,2018-12-04,CHI @ IND,L,239,90,37,94,0.394,11,31,0.355,5,5,1.0,12,32,44,26,8,2,18,23,-6.0,24
22018,1610612741,CHI,Chicago Bulls,0021800373,2018-12-07,CHI vs. OKC,W,239,114,43,82,0.524,12,25,0.48,16,23,0.696,5,34,39,25,15,6,20,26,2.0,25
22018,1610612741,CHI,Chicago Bulls,0021800383,2018-12-08,CHI vs. BOS,L,241,77,31,81,0.383,6,24,0.25,9,14,0.643,8,29,37,16,3,2,15,17,-56.0,26
22018,1610612741,CHI,Chicago Bulls,0021800394,2018-12-10,CHI vs. SAC,L,240,89,34,76,0.447,8,28,0.286,13,13,1.0,7,33,40,16,10,3,27,17,-19.0,27
22018,1610612741,CHI,Chicago Bulls,0021800418,2018-12-13,CHI @ ORL,L,240,91,34,71,0.479,10,18,0.556,13,20,0.65,1,32,33,18,10,4,18,23,-6.0,28
22018,1610612741,CHI,Chicago Bulls,0021800433,2018-12-15,CHI @ SAS,W,240,98,37,86,0.43,6,29,0.207,18,21,0.857,8,32,40,16,12,8,7,20,5.0,29
22018,1610612741,CHI,Chicago Bulls,0021800447,2018-12-17,CHI @ OKC,L,239,96,38,85,0.447,8,22,0.364,12,16,0.75,13,28,41,20,10,7,23,31,-25.0,30
22018,1610612741,CHI,Chicago Bulls,0021800460,2018-12-19,CHI vs. BKN,L,240,93,40,91,0.44,6,19,0.316,7,10,0.7,9,30,39,21,7,5,8,22,-3.0,31
22018,1610612741,CHI,Chicago Bulls,0021800474,2018-12-21,CHI vs. ORL,W,242,90,33,75,0.44,5,17,0.294,19,26,0.731,9,41,50,23,5,6,7,21,10.0,32
22018,1610612741,CHI,Chicago Bulls,0021800490,2018-12-23,CHI @ CLE,W,240,112,43,78,0.551,11,22,0.5,15,17,0.882,7,36,43,26,7,3,11,19,20.0,33
22018,1610612741,CHI,Chicago Bulls,0021800507,2018-12-26,CHI vs. MIN,L,240,94,39,95,0.411,6,23,0.261,10,16,0.625,12,33,45,22,6,5,10,21,-25.0,34
22018,1610612741,CHI,Chicago Bulls,0021800520,2018-12-28,CHI @ WAS,W,240,101,37,79,0.468,8,22,0.364,19,25,0.76,7,39,46,20,9,6,10,18,9.0,35
22018,1610612741,CHI,Chicago Bulls,0021800538,2018-12-30,CHI @ TOR,L,239,89,33,80,0.413,7,20,0.35,16,18,0.889,7,37,44,16,7,2,16,16,-6.0,36
22018,1610612741,CHI,Chicago Bulls,0021800559,2019-01-02,CHI vs. ORL,L,238,84,36,86,0.419,7,20,0.35,5,8,0.625,5,27,32,18,8,0,11,17,-28.0,37
22018,1610612741,CHI,Chicago Bulls,0021800569,2019-01-04,CHI vs. IND,L,264,116,47,91,0.516,12,28,0.429,10,13,0.769,8,32,40,30,10,2,17,23,-3.0,38
22018,1610612741,CHI,Chicago Bulls,0021800584,2019-01-06,CHI vs. BKN,L,240,100,41,88,0.466,7,18,0.389,11,15,0.733,11,33,44,20,6,4,12,15,-17.0,39
22018,1610612741,CHI,Chicago Bulls,0021800615,2019-01-09,CHI @ POR,L,241,112,43,93,0.462,9,22,0.409,17,19,0.895,10,27,37,22,5,3,12,18,-12.0,40
22018,1610612741,CHI,Chicago Bulls,0021800629,2019-01-11,CHI @ GSW,L,240,109,35,78,0.449,9,20,0.45,30,34,0.882,5,24,29,16,9,1,13,21,-37.0,41
22018,1610612741,CHI,Chicago Bulls,0021800637,2019-01-12,CHI @ UTA,L,239,102,40,97,0.412,7,25,0.28,15,17,0.882,10,37,47,24,8,7,9,19,-8.0,42
22018,1610612741,CHI,Chicago Bulls,0021800656,2019-01-15,CHI @ LAL,L,241,100,37,92,0.402,9,31,0.29,17,24,0.708,13,33,46,21,11,6,13,26,-7.0,43
22018,1610612741,CHI,Chicago Bulls,0021800669,2019-01-17,CHI @ DEN,L,240,105,44,93,0.473,10,28,0.357,7,11,0.636,16,29,45,27,3,3,12,21,-30.0,44
22018,1610612741,CHI,Chicago Bulls,0021800685,2019-01-19,CHI vs. MIA,L,241,103,35,89,0.393,12,27,0.444,21,26,0.808,12,31,43,19,9,1,13,25,-14.0,45
22018,1610612741,CHI,Chicago Bulls,0021800692,2019-01-21,CHI @ CLE,W,242,104,36,76,0.474,15,30,0.5,17,22,0.773,8,42,50,24,8,2,18,26,16.0,46
22018,1610612741,CHI,Chicago Bulls,0021800712,2019-01-23,CHI vs. ATL,L,239,101,35,79,0.443,8,26,0.308,23,27,0.852,7,30,37,20,7,6,15,21,-20.0,47
22018,1610612741,CHI,Chicago Bulls,0021800723,2019-01-25,CHI vs. LAC,L,240,101,40,102,0.392,10,35,0.286,11,12,0.917,12,37,49,20,11,5,8,23,-5.0,48
22018,1610612741,CHI,Chicago Bulls,0021800735,2019-01-27,CHI vs. CLE,L,240,101,39,88,0.443,9,26,0.346,14,17,0.824,8,39,47,22,5,8,10,17,-3.0,49
22018,1610612741,CHI,Chicago Bulls,0021800752,2019-01-29,CHI @ BKN,L,241,117,47,94,0.5,9,28,0.321,14,19,0.737,5,45,50,17,6,8,17,29,-5.0,50
22018,1610612741,CHI,Chicago Bulls,0021800757,2019-01-30,CHI @ MIA,W,239,105,40,78,0.513,8,19,0.421,17,21,0.81,5,35,40,26,6,3,12,20,16.0,51
22018,1610612741,CHI,Chicago Bulls,0021800776,2019-02-02,CHI @ CHA,L,240,118,42,81,0.519,9,24,0.375,25,25,1.0,8,31,39,20,4,2,10,20,-7.0,52
22018,1610612741,CHI,Chicago Bulls,0021800805,2019-02-06,CHI vs. NOP,L,240,120,45,91,0.495,16,36,0.444,14,19,0.737,9,27,36,27,8,6,8,23,-5.0,53
