SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,GAMES_PLAYED
22018,1610612739,CLE,Cleveland Cavaliers,0021800008,2018-10-17,CLE @ TOR,L,239,104,34,85,0.4,7,19,0.368,29,39,0.744,14,35,49,17,4,0,16,25,-12.0,0
22018,1610612739,CLE,Cleveland Cavaliers,0021800021,2018-10-19,CLE @ MIN,L,240,123,45,93,0.484,8,23,0.348,25,29,0.862,13,30,43,26,5,2,14,24,-8.0,1
22018,1610612739,CLE,Cleveland Cavaliers,0021800036,2018-10-21,CLE vs. ATL,L,240,111,46,99,0.465,10,27,0.37,9,14,0.643,15,34,49,23,5,2,18,25,-22.0,2
22018,1610612739,CLE,Cleveland Cavaliers,0021800053,2018-10-24,CLE vs. BKN,L,241,86,34,89,0.382,3,18,0.167,15,16,0.938,16,37,53,18,5,2,15,19,-16.0,3
22018,1610612739,CLE,Cleveland Cavaliers,0021800063,2018-10-25,CLE @ DET,L,241,103,41,89,0.461,8,24,0.333,13,15,0.867,7,23,30,18,11,1,9,25,-7.0,4
22018,1610612739,CLE,Cleveland Cavaliers,0021800077,2018-10-27,CLE vs. IND,L,240,107,40,86,0.465,7,25,0.28,20,22,0.909,16,23,39,21,9,2,15,20,-12.0,5
22018,1610612739,CLE,Cleveland Cavaliers,0021800097,2018-10-30,CLE vs. ATL,W,240,136,45,90,0.5,13,25,0.52,33,43,0.767,13,35,48,23,13,1,13,20,22.0,6
22018,1610612739,CLE,Cleveland Cavaliers,0021800112,2018-11-01,CLE vs. DEN,L,242,91,34,83,0.41,5,18,0.278,18,19,0.947,13,22,35,18,11,4,13,22,-19.0,7
22018,1610612739,CLE,Cleveland Cavaliers,0021800126,2018-11-03,CLE @ CHA,L,237,94,35,81,0.432,10,26,0.385,14,15,0.933,3,23,26,22,10,2,13,20,-32.0,8
22018,1610612739,CLE,Cleveland Cavaliers,0021800142,2018-11-05,CLE @ ORL,L,240,100,41,80,0.513,10,23,0.435,8,12,0.667,8,34,42,20,8,2,18,17,-2.0,9
22018,1610612739,CLE,Cleveland Cavaliers,0021800153,2018-11-07,CLE vs. OKC,L,240,86,33,89,0.371,9,31,0.29,11,13,0.846,12,39,51,17,3,4,19,26,-9.0,10
22018,1610612739,CLE,Cleveland Cavaliers,0021800178,2018-11-10,CLE @ CHI,L,241,98,39,91,0.429,8,21,0.381,12,18,0.667,15,38,53,15,5,6,12,17,-1.0,11
22018,1610612739,CLE,Cleveland Cavaliers,0021800199,2018-11-13,CLE vs. CHA,W,241,113,45,85,0.529,13,24,0.542,10,12,0.833,14,46,60,23,5,3,19,20,24.0,12
22018,1610612739,CLE,Cleveland Cavaliers,0021800203,2018-11-14,CLE @ WAS,L,240,95,35,77,0.455,4,21,0.19,21,31,0.677,9,33,42,22,12,6,23,24,-24.0,13
22018,1610612739,CLE,Cleveland Cavaliers,0021800240,2018-11-19,CLE @ DET,L,240,102,35,79,0.443,8,21,0.381,24,34,0.706,11,25,36,16,8,3,9,22,-11.0,14
22018,1610612739,CLE,Cleveland Cavaliers,0021800256,2018-11-21,CLE vs. LAL,L,241,105,39,102,0.382,13,34,0.382,14,15,0.933,15,31,46,18,3,2,3,22,-4.0,15
