SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,GAMES_PLAYED
22018,1610612738,BOS,Boston Celtics,0021800001,2018-10-16,BOS vs. PHI,W,240,105,42,97,0.433,11,37,0.297,10,14,0.714,12,43,55,21,7,5,14,20,18.0,0
22018,1610612738,BOS,Boston Celtics,0021800019,2018-10-19,BOS @ TOR,L,240,101,40,99,0.404,14,36,0.389,7,10,0.7,16,33,49,29,4,6,14,27,-12.0,1
22018,1610612738,BOS,Boston Celtics,0021800028,2018-10-20,BOS @ NYK,W,240,103,33,82,0.402,9,25,0.36,28,33,0.848,11,36,47,21,8,2,15,26,2.0,2
22018,1610612738,BOS,Boston Celtics,0021800040,2018-10-22,BOS vs. ORL,L,238,90,37,91,0.407,9,40,0.225,7,9,0.778,9,42,51,21,6,3,12,15,-3.0,3
22018,1610612738,BOS,Boston Celtics,0021800065,2018-10-25,BOS @ OKC,W,240,101,33,86,0.384,11,32,0.344,24,33,0.727,10,35,45,19,7,1,11,27,6.0,4
22018,1610612738,BOS,Boston Celtics,0021800074,2018-10-27,BOS @ DET,W,238,109,39,86,0.453,14,34,0.412,17,25,0.68,8,46,54,25,4,8,13,26,20.0,5
22018,1610612738,BOS,Boston Celtics,0021800099,2018-10-30,BOS vs. DET,W,239,108,37,84,0.44,9,31,0.29,25,32,0.781,8,38,46,25,8,4,14,20,3.0,6
22018,1610612738,BOS,Boston Celtics,0021800115,2018-11-01,BOS vs. MIL,W,240,117,41,92,0.446,24,55,0.436,11,13,0.846,8,34,42,30,5,8,12,23,4.0,7
22018,1610612738,BOS,Boston Celtics,0021800127,2018-11-03,BOS @ IND,L,240,101,38,88,0.432,19,46,0.413,6,9,0.667,10,35,45,23,6,8,14,20,-1.0,8
22018,1610612738,BOS,Boston Celtics,0021800145,2018-11-05,BOS @ DEN,L,240,107,44,87,0.506,9,31,0.29,10,12,0.833,7,33,40,22,9,9,12,21,-8.0,9
22018,1610612738,BOS,Boston Celtics,0021800164,2018-11-08,BOS @ PHX,W,266,116,39,97,0.402,14,37,0.378,24,31,0.774,17,39,56,21,6,6,16,18,7.0,10
22018,1610612738,BOS,Boston Celtics,0021800172,2018-11-09,BOS @ UTA,L,240,115,39,88,0.443,17,43,0.395,20,22,0.909,5,23,28,31,11,3,8,20,-8.0,11
22018,1610612738,BOS,Boston Celtics,0021800188,2018-11-11,BOS @ POR,L,241,94,36,93,0.387,14,42,0.333,8,10,0.8,11,31,42,19,11,5,12,16,-6.0,12
22018,1610612738,BOS,Boston Celtics,0021800204,2018-11-14,BOS vs. CHI,W,241,111,42,90,0.467,15,34,0.441,12,14,0.857,8,43,51,27,12,5,13,12,29.0,13
22018,1610612738,BOS,Boston Celtics,0021800216,2018-11-16,BOS vs. TOR,W,266,123,47,89,0.528,9,26,0.346,20,24,0.833,9,37,46,25,9,6,18,23,7.0,14
22018,1610612738,BOS,Boston Celtics,0021800229,2018-11-17,BOS vs. UTA,L,240,86,35,91,0.385,5,33,0.152,11,20,0.55,17,34,51,16,11,4,14,22,-12.0,15
22018,1610612738,BOS,Boston Celtics,0021800239,2018-11-19,BOS @ CHA,L,239,112,45,89,0.506,9,32,0.281,13,18,0.722,8,33,41,31,9,6,12,22,-5.0,16
22018,1610612738,BOS,Boston Celtics,0021800255,2018-11-21,BOS vs. NYK,L,241,109,38,97,0.392,10,33,0.303,23,32,0.719,15,35,50,30,10,9,8,16,-8.0,17
22018,1610612738,BOS,Boston Celtics,0021800268,2018-11-23,BOS @ ATL,W,240,114,42,91,0.462,13,40,0.325,17,21,0.81,7,36,43,31,11,7,16,29,18.0,18
22018,1610612738,BOS,Boston Celtics,0021800283,2018-11-24,BOS @ DAL,L,240,104,41,86,0.477,10,28,0.357,12,13,0.923,9,33,42,19,8,3,17,21,-9.0,19
22018,1610612738,BOS,Boston Celtics,0021800298,2018-11-26,BOS @ NOP,W,241,124,48,97,0.495,19,39,0.487,9,10,0.9,14,28,42,27,14,4,13,25,17.0,20
22018,1610612738,BOS,Boston Celtics,0021800319,2018-11-30,BOS vs. CLE,W,240,128,49,92,0.533,17,31,0.548,13,16,0.813,12,35,47,30,4,4,10,27,33.0,21
22018,1610612738,BOS,Boston Celtics,0021800335,2018-12-01,BOS @ MIN,W,241,118,40,85,0.471,17,44,0.386,21,21,1.0,7,33,40,30,9,3,14,25,9.0,22
22018,1610612738,BOS,Boston Celtics,0021800365,2018-12-06,BOS vs. NYK,W,240,128,49,92,0.533,13,38,0.342,17,20,0.85,7,39,46,32,8,6,9,24,28.0,23
22018,1610612738,BOS,Boston Celtics,0021800383,2018-12-08,BOS @ CHI,W,238,133,50,93,0.538,22,43,0.512,11,15,0.733,13,41,54,34,10,4,7,14,56.0,24
22018,1610612738,BOS,Boston Celtics,0021800393,2018-12-10,BOS vs. NOP,W,241,113,44,90,0.489,12,39,0.308,13,19,0.684,14,37,51,23,8,5,13,21,13.0,25
22018,1610612738,BOS,Boston Celtics,0021800409,2018-12-12,BOS @ WAS,W,265,130,47,104,0.452,11,38,0.289,25,25,1.0,14,36,50,20,6,2,13,19,1.0,26
22018,1610612738,BOS,Boston Celtics,0021800420,2018-12-14,BOS vs. ATL,W,241,129,46,95,0.484,19,39,0.487,18,20,0.9,13,34,47,28,15,9,21,21,21.0,27
22018,1610612738,BOS,Boston Celtics,0021800431,2018-12-15,BOS @ DET,L,240,104,39,94,0.415,9,33,0.273,17,23,0.739,12,32,44,19,11,4,14,25,-9.0,28
22018,1610612738,BOS,Boston Celtics,0021800458,2018-12-19,BOS vs. PHX,L,240,103,38,85,0.447,15,39,0.385,12,14,0.857,9,28,37,26,13,15,16,17,-4.0,29
22018,1610612738,BOS,Boston Celtics,0021800473,2018-12-21,BOS vs. MIL,L,241,107,35,91,0.385,10,34,0.294,27,36,0.75,9,27,36,22,13,3,5,16,-13.0,30
22018,1610612738,BOS,Boston Celtics,0021800488,2018-12-23,BOS vs. CHA,W,240,119,43,86,0.5,13,39,0.333,20,25,0.8,11,36,47,30,8,4,14,22,16.0,31
22018,1610612738,BOS,Boston Celtics,0021800499,2018-12-25,BOS vs. PHI,W,265,121,45,108,0.417,14,41,0.341,17,20,0.85,13,42,55,21,8,4,9,21,7.0,32
22018,1610612738,BOS,Boston Celtics,0021800512,2018-12-27,BOS @ HOU,L,240,113,38,81,0.469,12,31,0.387,25,31,0.806,6,31,37,28,9,3,11,22,-14.0,33
22018,1610612738,BOS,Boston Celtics,0021800531,2018-12-29,BOS @ MEM,W,240,112,40,80,0.5,16,36,0.444,16,18,0.889,7,29,36,29,10,4,17,24,9.0,34
22018,1610612738,BOS,Boston Celtics,0021800545,2018-12-31,BOS @ SAS,L,240,111,43,88,0.489,11,34,0.324,14,20,0.7,9,31,40,30,5,8,12,17,-9.0,35
22018,1610612738,BOS,Boston Celtics,0021800558,2019-01-02,BOS vs. MIN,W,239,115,45,76,0.592,12,30,0.4,13,15,0.867,3,30,33,34,10,9,16,21,13.0,36
22018,1610612738,BOS,Boston Celtics,0021800566,2019-01-04,BOS vs. DAL,W,239,114,42,96,0.438,21,45,0.467,9,11,0.818,14,39,53,35,12,4,12,16,21.0,37
22018,1610612738,BOS,Boston Celtics,0021800592,2019-01-07,BOS vs. BKN,W,239,116,47,93,0.505,12,32,0.375,10,12,0.833,6,37,43,37,13,2,13,21,21.0,38
22018,1610612738,BOS,Boston Celtics,0021800607,2019-01-09,BOS vs. IND,W,239,135,50,88,0.568,14,32,0.438,21,24,0.875,9,39,48,32,7,7,13,25,27.0,39
